0 0.00022373927
0.001 0.01846999
0.002 0.036765428
0.003 0.05517182
0.004 0.073753083
0.005 0.092577033
0.006 0.11171814
0.007 0.13125444
0.008 0.1512745
0.009 0.17188026
0.01 0.19317385
0.011 0.21532738
0.012 0.23849975
0.013 0.2628966
0.014 0.28878414
0.015 0.31650633
0.016 0.34652419
0.017 0.37964344
0.0175 0.39761098
0.018 0.41664328
0.0185 0.43711978
0.019 0.45946986
0.0195 0.48388247
0.02 0.51143835
0.02025 0.52636871
0.0205 0.54267116
0.02075 0.56075205
0.021 0.58034458
0.02125 0.60318814
0.0215 0.63353771

